stt,word,furigana,Sino-Vietnamese,meaning,example
361,縮小,しゅくしょう,súc tiểu,"zoom nhỏ, co nhỏ, nén lại","[['1. B4をA4に縮小してコピーした。', 'Copy giảm từ B4 xuống A4.'], ['2. 事業の縮小より、数人の社員が辞めさせられた。', 'Số nhân viên công ty bị giảm hơn là giảm công việc.'], ['合 ＿コピー', ''], ['対 拡大', '']]"
362,集合,しゅうごう,tập hợp,tập hợp,"[['1. 「面接を受ける人は、予定時間の30分前に会場に集合してください」', 'Những người tham gia phỏng vấn đến trước thời gian dự kiến 30 phút và tập trung tại công ty.'], ['2. 人間の体は、分子の集合でできている。', 'Cơ thể con người là tập hợp những phân tử.'], ['3. 数の集合', ''], ['合 ＿時間、＿場所、＿体', ''], ['対 解散、分散', '']]"
363,方向,ほうこう,phương hướng,phương hướng,"[['1. 川は北東から南西の方向に流れている。', 'Con sông này chảy từ hướng đông bắc xuống tây nam.'], ['2. 吹雪で方向が分からなくなった。', 'Do bão tuyết nên không thể nhận biết phương hướng.'], ['3. 「進行方向右手に、富士山が見えてまいります」', 'Ở bên phía tay phải hướng chuyển động có thể nhìn thấy núi Phú Sĩ.'], ['4. 今の会社を辞めるかどうか迷っている。今のところ、転職の方向を考えている。', 'Tôi đang lúng túng việc có nghỉ công ty hiện tại hay không. Hiện tại, tôi đang nghĩ đến việc chuyển công ty.'], ['関 方角', ''], ['合 ＿音痴、＿転換、＿感覚、＿指示器、進行＿', '']]"
364,間隔,かんかく,gian cách,"khoảng cách, khoảng giữa","[['1. 50センチの間隔をあけて机を並べた。', 'Xếp các bàn có khoảng cách 50 cm.'], ['2. ラッシュ時には3分間隔で電車が発車する。', 'Vào giờ cao điểm, các tàu điện cách 3 phút thì xuất phát.'], ['3. 行と行の間隔をもう少しあけて書いてください。', 'Hãy viết khoảng cách giữa các dòng cách nhau ra một chút.'], ['関 間', ''], ['連 ＿が開く＜＝＞つまる、＿をあける＜＝＞つめる', '']]"
365,脇,わき,hiếp,nách,"[['1. 体温計をわきの下に挟んで熱を測る。', 'Kẹp nhiệt kế vào nách và đo nhiệt độ.'], ['2. 荷物をわきに置く。', 'Kẹp hành lí vào nách.'], ['3. 向こうから大勢の人が集団で歩いてきたので、道のわきに寄った。', 'Phía trước rất nhiều người đi bộ thành đoàn nên tôi lách lên lề đường để đi.'], ['4. 原田さんはすぐに話がわきにそれてしまう。', 'Harada liền lảng tránh câu chuyện.'], ['合 ＿見', '']]"
366,通過,つうか,thông qua/quá,thông qua,"[['1. 国境を車で通過する。', 'Xe ô tô thông qua biên giới.'], ['2. コンテストで一次審査を通過した。', 'Thông qua thẩm qua lần thứ nhất tại cuộc thi.'], ['関 通り過ぎる、パス', ''], ['合 ＿駅、＿点、＿地点', '']]"
367,移動,いどう,di động,di chuyển,"[['1. 今度の旅行では、移動はすべてバスだ。', 'Chuyến du lịch lần này, di chuyển sẽ hoàn toàn bằng xe buýt.'], ['2. 「ここは駐車禁止です。車を別の場所に移動してください」', 'Chỗ này là chỗ cấm đỗ xe, hãy di chuyển xe ô tô đến chỗ khác.'], ['関 移転、転居、移住', '']]"
368,停止,ていし,đình chỉ,"dừng lại, tạm dừng","[['1. そのスーパーは停電のため、営業を停止した。', 'Vì siêu thị cúp điện nên tạm dừng kinh doanh.'], ['2. 踏切では車は一時停止なければならない。', 'Ở chỗ chắn tàu, xe ô tô phải tạm dừng 1 giờ.'], ['3. A 選手はドーピングで出場停止処分を受けた。', 'Tuyển thủ A vì doping nên nhận án phạt cấm tham gia trận đấu.'], ['関 中止', ''], ['類 ストップ', ''], ['合 出席＿、出場＿、一時＿', '']]"
369,低下,ていか,đê hạ,sự giảm; sự suy giảm,"[['1. 高く昇れば昇るほど、気温が低下する。', 'Càng leo lên cao nhiệt độ càng giảm.'], ['2. 年を取ると、記憶力が低下する。', 'Càng già, khả năng nhớ càng thấp.'], ['対 上昇、向上', '']]"
370,超過,ちょうか,siêu qua/quá,vượt quá,"[['1. 彼女の荷物は規定の重量を10キロも超過していた。', 'Hành lí của cô ấy vượt quá trọng lượng quy định 10kg.'], ['2. 計算してみると、予算を超過していた。', 'Thử tính toán thì vượt quá ngân sách.'], ['関 超える', ''], ['類 オーバー', ''], ['合 ＿料金、＿勤務', '']]"
371,立ち上がる,た,lập thượng,đứng dậy,"[['1. 椅子から立ち上がる。', 'Đứng dậy khỏi ghế.'], ['2. プロジェクトが立ち上がる。', 'Khởi động dự án.'], ['名 立ち上がり', '']]"
372,飛び上がる,と,phi thượng,nhảy lên,"[['1. 飛び上がって喜ぶ。', 'Nhảy cẩng lên vui sướng.'], ['2. 驚いて飛び上がった。', 'Vì vui sướng nên nhảy lên.']]"
373,浮かび上がる,う,phù thượng,nổi lên,"[['1. 水面に浮かび上がる。', 'Trôi nổi trên mặt nước.'], ['2. Aが容疑者として浮かび上がった。', 'Tôi cứ nghĩ trong đầu A là nghi phạm.']]"
374,舞い上がる,ま,vũ thượng,"khuấy lên, hưng phấn","[['1. ｛砂/誇り…｝が舞い上がる。', 'Cát/ mùi hương… bay lên.'], ['2. 女の子から告白されて、彼は舞い上がった。', 'Nhận được lời cầu hôn của cô ấy, anh ta nhảy cẩng lên.']]"
375,燃え上がる,も,nhiên thượng,"bùng cháy, bốc cháy","[['1. ｛火/闘志/恋心…｝が燃え上がる。', '']]"
376,盛り上がる,も,thịnh thượng,"tăng lên, đứng lên","[['1. 筋肉が盛り上がっている。', 'Tăng cơ bắp.'], ['2. パーティーが盛り上がる。', 'Tăng bữa tiệc.'], ['名 盛り上がり→＿に欠ける', '']]"
377,沸き上がる,わ,phí thượng,"sôi lên, sủi bọt lên","[['1. 歓声が沸き上がる。', 'Tiếng hoan hô náo nhiệt lên.'], ['2. ｛悲しみ/怒り…｝が沸き上がってくる。', '']]"
378,晴れ上がる,は,tình thượng,"sạch, trong","[['1. 腫れあがった秋空。', 'Bầu trời thu nắng đẹp, trong xanh.']]"
379,震え上がる,ふる,chấn thượng,run rẩy,"[['1. ｛寒さ/恐怖…｝に震え上がる。', 'Run lên vì lạnh/ sợ….']]"
380,縮み上がる,ちぢ,súc thượng,sun lại (vì lạnh),"[['1. ｛寒さ/恐怖…｝に縮み上がる。', 'Co lại vì lạnh/ sợ….']]"
381,干上がる,ひあ,can thượng,"để khô, bị khô, cạn","[['1. ｛池/湖/川…｝が干上がる。', 'Ao/ hồ/ sông….khô.']]"
382,出来上がる,できあ,xuất lai thượng,hoàn thành,"[['1. 料理が出来上がった。', 'Cơm đã nấu xong.'], ['名 出来上がり', '']]"
383,持ち上げる,も,trì thượng,nâng lên,"[['1. 荷物を持ち上げる。', 'Mang hành lí.']]"
384,見上げる,みあ,kiến thượng,nhìn lên,"[['1. 空を見上げる。', 'Nhìn lên bầu trời.']]"
385,積み上げる,つ,tích thượng,chất lên,"[['1. 資料を積み上げる。', 'Chất những tài liệu.']]"
386,打ち上げる,う,đả thượng,"phát, bắn","[['1. ｛ロケット/花火…｝を打ち上げる。', 'Bắn tên lửa/ pháo hoa…'], ['名 打ち上げ', '']]"
387,立ち上げる,た,lập thượng,khởi động,"[['1. コンピューターを立ち上げる。', 'Khởi động máy tính.'], ['名 立ち上げ', '']]"
388,切り上げる,き,thiết thượng,kết thúc,"[['1. 今日は仕事を5時で切り上げよう。', 'Hôm nay tôi sẽ gắng hoàn thành công việc lúc 5 giờ.'], ['2. 通貨を切り上げる。小数点以下は切り上げることとする。', 'Làm tròn số tiền, số tiền được cắt sau số thập phân.'], ['対 切り下げる', ''], ['名 切り上げ', '']]"
389,繰り上げる,く,sào thượng,sớm hơn,"[['1. ｛時間/予定/順位…｝を繰り上げる。', 'Sớm hơn thời gian/ dự định…'], ['名 繰り上げ→＿当選', '']]"
390,磨き上げる,みが,ma thượng,làm bóng,"[['1. 磨き上げた靴。', 'Giày đã được đánh bóng.'], ['2. ｛床/家具/鏡…｝を磨き上げる。', 'Lau sạch sàn nhà/ dụng cụ gia đình/ gương….']]"
391,鍛え上げる,きた,đoán thượng,rèn luyện,"[['1. 選手たちを鍛え上げる。', 'Huấn luyện các tuyển thủ.'], ['2. 鍛え上げられた肉体。', 'Thân thể đã được rèn luyện.']]"
392,書き上げる,か,thư thượng,viết xong,"[['1. レポートを書き上げた。', 'Viết xong báo cáo.']]"
393,育て上げる,そだ,dục thượng,nuôi nấng,"[['1. 子供を育て上げる。', 'Nuôi dạy con cái.']]"
394,読み上げる,よ,độc thượng,đọc to,"[['1. 卒業生の名前を読み上げる。', 'Đọc to tên học sinh tốt nghiệp.']]"
395,数え上げる,かぞ,số thượng,đếm ra,"[['1. 欠点を数え上げる。', 'Đếm to ra những khuyết điểm.']]"
396,投げ出す,な,đầu xuất,"buông, ném đi, từ bỏ","[['1. 足を投げ出して座る。', 'Bỏ chân ra và ngồi.'], ['2. 問題が難しくて、途中で投げ出してしまった。', 'Bài tập khó quá nên nửa chừng đã từ bỏ.']]"
397,持ち出す,も,trì xuất,cầm đi,"[['1. この本は図書館から持ち出さないでください。', 'Không mang cuốn sách này ra khỏi thư viện.'], ['名 持ち出し', '']]"
398,追い出す,お,truy xuất,"đuổi đi, xua đi","[['1. 入ってきた虫をを追い出す。', 'Đuổi con sâu đi.']]"
399,放り出す,ほう,phóng xuất,ném sang bên,"[['1. 子供は学校から帰ってくると、かばんを放り出して遊びに行った。', 'Đứa con vừa đi học về liền ném cặp sang một bên và đi chơi.']]"
400,貸し出す,か,thải xuất,cho mượn,"[['1. 「この図書館では雑誌も貸し出していますか」', 'Ở thư viện này có cho mượn tạp chí không ạ?'], ['2. 銀行が金を貸し出す。', 'Ngân hàng vay mượn tiền.'], ['対 借りだす', ''], ['名 貸し出し→＿期間', '']]"
401,聞き出す,き,văn xuất,nghe,"[['1. 相手から情報を聞き出す。', 'Nghe thông tin từ đối phương.']]"
402,連れ出す,つ,liên xuất,dẫn đi,"[['1. 嫌がる娘をむりやり連れ出して病院に行った。', 'Dẫn đứa em gái không thích đi bệnh viện một cách cướng chế.']]"
403,引っ張り出す,ひ,dẫn trương xuất,lôi ra,"[['1. 押し入れの奥から古いアルバムを引っ張り出した。', 'Lôi ra album cũ từ phía trong ngăn.'], ['2. 新しい映画に、引退した女優を引っ張り出した。', 'Trong bộ phim mới xuất hiện lại nữ diễn viên đã giải nghệ.']]"
404,逃げ出す,に,đào xuất,chạy trốn,"[['1. 燃えている家の中から逃げ出す。', 'Chạy trốn khỏi căn nhà đang cháy.'], ['2. 動物園の猿が逃げ出したそうだ。', 'Con khỉ ở sở thú nghe nói đã chạy trốn.']]"
405,飛び出す,と,phi xuất,"nhảy ra, bay ra","[['1. 箱を開けるとカエルが飛び出した。', 'Vừa mở cái hộp con ếch đã nhảy ra.'], ['2. 親と喧嘩して家を飛び出した。', 'Tôi cãi nhau với ba mẹ nên đã bỏ nhà ra đi.'], ['3. 車道に飛び出すな。', 'Không được chạy lao ra ở đường ô tô chạy.'], ['4. 釘が飛び出していて危ない。', 'Đinh đột nhiên xuất hiện rất nguy hiểm.']]"
406,見つけ出す,み,kiến xuất,"tìm ra, tìm thấy","[['1. 図書館の本棚から、探していた本を見つけ出した。', 'Tôi đã tìm thấy quyển sách đang tìm ở hàng sách của thư viện.']]"
407,探し出す,さが,thám xuất,"tìm thấy, phát hiện","[['1. 行方不明になっていたペットを探し出した。', 'Đã tìm ra con thú cưng bị thất lạc.']]"
408,書き出す,か,thư xuất,viết ra,"[['1. 今日の予定をノートに書きだした。', 'Ghi ra những dự định hôm nay vào vở.']]"
409,飛び込む,と,phi,nhảy vào (hồ bơi),"[['1. プールに飛び込む。', 'Nhảy vào hồ bơi.'], ['2. 新しい世界に飛び込む。', 'Bước vào một thế giới mới.'], ['3. 大ニュースが飛び込んできた。', 'Đi vào một vấn đề lớn.'], ['名 飛び込み', '']]"
410,駆け込む,か,khu,lao về (lớp học),"[['1. 大急ぎで教室に駆け込んだ。', 'Vì rất vội nên đã lao vào lớp học.'], ['名 駆け込み→＿乗車', '']]"
411,割り込む,わ,cát,cắt (thành hàng),"[['1. 列に割り込む。', 'Cắt ngang hàng.'], ['名 割り込み', '']]"
412,差し込む,さ,sai,chiếu vào,"[['1. 日の光が部屋いっぱいに差し込んでいる。', 'Ánh nắng mặt trời chiếu rất nhiều vào phòng.']]"
413,染み込む,し,nhiễm,"thấm qua, thấm vào","[['1. 雨が土に染み込む。', 'Nước mưa thấm vào đất.'], ['2. 母の教えが胸に染み込んでいる。', 'Những lời mẹ dặn thấm vào tim.']]"
414,引っ込む,ひ,dẫn,"lui về, co lại","[['1. 秘書は客を応接室に通すと、奥へ引っ込んだ。', 'Tác giả đi ngang qua phòng tiếp đãi khách hàng, nên đã vào trong.'], ['2. 父は退縮後、田舎に引っ込んだ。', 'Bố tôi sau khi nghỉ hưu đã lùi về sống ở quê.'], ['3. 「あなたは関係ないんだから、引っ込んでてください」', 'Không liên quan đến bạn, lùi lại đi.']]"
415,詰め込む,つ,cật,nhét vào,"[['1. かばんに荷物を詰め込む。', 'Nhét hành lí vào cặp.'], ['名 詰め込み→＿教育', '']]"
416,飲み込む,の,ẩm,nuốt,"[['1. 食べ物をかまずに飲み込む。', 'Không nhai đồ ăn mà nuốt chửng.'], ['2. 状況を飲み込むのに時間がかかった。', 'Để am hiểu tình hình mất nhiều thời gian.']]"
417,運び込む,はこ,vận,"mang vào, vận chuyển vào","[['1. 引っ越しの荷物を部屋に運び込む。', 'Vận chuyển hành lí chuyển nhà vào trong phòng.']]"
418,打ち込む,う,đả,nhập vào,"[['1. パソコンにデータを打ち込む。', 'Nhập dữ liệu vào máy tính.'], ['2. 強いサーブを打ち込む。', 'Bị quả bóng mạnh đập vào.'], ['名 打ち込み', '']]"
419,注ぎ込む,そそ,chú,"mang lại, truyền dẫn, rót vào, đổ vào","[['1. 子供に愛情を注ぎ込む。', 'Mang lại yêu thương cho trẻ em.']]"
420,引き込む,ひ,dẫn,vướng vào,"[['1. 友人を悪の道に引き込む。', 'Bạn thân tôi bị vướng vào con đường xấu.'], ['2. 話に引き込まれる。', 'Bị vướng vào câu chuyện.']]"
421,書き込む,か,thư,viết vào,"[['1. ノートに感想を書き込む。', 'Viết cảm tưởng vào vở.'], ['名 書き込み', '']]"
422,巻き込む,ま,quyển,"cuốn vào, dính vào, vướng vào","[['1. 事故に巻き込まれてけがをした。', 'Bị vướng vào tai nạn nên đã bị thương.']]"
423,追い込む,お,truy,"lùa, dồn","[['1. 羊の群れを囲いに追い込む。', 'Lùa đàn cừu vào chuồng.'], ['2. 彼は責任を追及され、追い込まれた状況にある。', 'Anh ấy bị điều tra trách nhiệm, bị đẩy vào tình trạng bí.'], ['名 追い込み', '']]"
424,呼び込む,よ,hô,gọi vào,"[['1. ある国では、赤は運を呼び込む色だと言われている。', 'Ở đất nước đó, màu đỏ được coi là màu may mắn.'], ['名 呼び込み', '']]"
425,座り込む,すわ,tọa,ngồi,"[['1. 疲れていすに座り込む。', 'Vì mệt nên ngồi sụp xuống ghế.']]"
426,寝込む,ねこ,tẩm,"ngủ, ngủ say","[['1. 病気で1週間寝込んだ。', 'Vì bệnh nên ngủ suốt 1 tuần.']]"
427,話し込む,はな,thoại,"nói dài, nói chuyện kĩ càng","[['1. 友人と電話で3時間も話し込んだ。', 'Nói chuyện với đứa bạn thân tới 3 giờ đồng hồ.']]"
428,黙り込む,だま,mặc,giữ im lặng,"[['1. 母は不機嫌になると黙り込む。', 'Khi mẹ không khỏe sẽ im lặng.']]"
429,泊まり込む,と,bạc,ở qua đêm,"[['1. 病院に泊まり込んで看病する。', 'Ở lại bệnh viện để chăm sóc bệnh nhân.'], ['名 泊まり込み', '']]"
430,住み込む,す,trú/trụ,"sống ở, sống với","[['1. 弟子になって、師匠の家に住み込む。', 'Khi trở thành đệ tử sẽ sống tại nhà sư phụ.'], ['名 住み込み→＿で働く', '']]"
431,煮込む,にこ,chử,"nấu, ninh","[['1. 弱火で煮込む。', 'Nấu bằng lửa nhẹ.'], ['名 煮込み', '']]"
432,売り込む,う,mại,bán vào,"[['1. 新製品を売り込む。', 'Bán sản phẩm mới.'], ['名 売り込み', '']]"
433,頼み込む,たの,lại,nhờ vả,"[['1. 頭を下げて先輩に頼み込んだ。', 'Cúi đầu nhờ tiền bối.']]"
434,教え込む,おし,giáo,"dạy, truyền dẫn, thấm nhuần cho","[['1. 動物に根気よく芸を教え込んだ。', 'Kiên nhẫn dạy nghệ thuật cho động vật.']]"
435,話し合う,はな,thoại hợp,đàm luận,"[['1. 「暴力はいけない。話し合って解決しよう」', 'Không được dùng bạo lực, hãy nói chuyện cùng nhau để giải quyết.'], ['名 話し合い', '']]"
436,言い合う,い,ngôn hợp,nói (với nhau),"[['1. 言いたいことを言い合って、最後に仲直りした。', 'Nói cùng nhau những điều cần nói, cuối cùng đã làm hòa.'], ['名 言い合い', '']]"
437,語り合う,かた,ngữ hợp,nói cùng nhau,"[['1. 久しぶりに会った友人と深夜まで語り合った。', 'Nói chuyện đến tận khuya với người bạn lâu nay không gặp.']]"
438,見つめ合う,み,kiến hợp,nhìn nhau chằm chằm,"[['1. 二人は互いの目を見つめ合った。', 'Hai người nhìn chằm chằm vào mắt nhau.']]"
439,向かい合う,む,hướng hợp,đối diện nhau,"[['1. 相手と向かい合って座る。＜＝＞並んで座る', 'Ngồi đối diện với đối phương.']]"
440,助け合う,たす,trợ hợp,giúp đỡ lẫn nhau,"[['1. 「困ったときは助け合おう」', 'Hãy giúp đỡ lẫn nhau khi gặp khó khăn.'], ['名 助け合い', '']]"
441,分け合う,わ,phân hợp,chia sẻ,"[['1. 一つのパンをみんなで分け合って食べた。', 'Xé một cái bánh ra chia cho mọi người cùng ăn.']]"
442,出し合う,だ,xuất hợp,"đóng góp, chia sẻ, góp (chi phí)","[['1. 兄弟でお金を出し合って、両親にプレゼントをした。', 'Anh em chia tiền ra mua quà tặng ba mẹ.']]"
443,申し合わせる,もう,thân hợp,"sắp xếp, thu xếp, dàn xếp (1 cuộc cãi nhau)","[['1. 会議の内容は外部には言わないことを申し合わせた。', 'Sắp xếp nội dung cuộc họp mà không nói ra ngoài.'], ['名 申し合わせ', '']]"
444,誘い合わせる,さそ,dụ hợp,"mời, rủ lẫn nhau","[['1. クラスメートたちと誘い合わせて富士山に行った。', 'Rủ đứa bạn cùng lớp cùng đi núi Phú Sĩ.']]"
445,隣り合わせる,とな,lân hợp,"ở bên cạnh, ở cạnh nhau","[['名 隣り合わせ', '']]"
446,組み合わせる,く,tổ hợp,"lắp ráp, kết hợp","[['1. 部品を組み合わせてプラモデルを作る。', 'Lắp ráp các bộ phận để tạo thành mô hình nhựa.'], ['名 組み合わせ', '']]"
447,詰め合わせる,つ,cật hợp,đóng gói,"[['1. 一箱にいろいろなお菓子が詰め合わせてある。', 'Có rất nhiều kẹo được đóng gói trong hộp.'], ['名 詰め合わせ', '']]"
448,重ね合わせる,かさ,trọng/trùng hợp,chồng lên,"[['1. 二つの事件を重ね合わせて考えてみると、共通点が浮かび上がった。', 'Khi thử kết hợp suy nghĩ hai sự kiện thì thấy điểm chung đã nổi lên.']]"
449,居合わせる,いあ,cư hợp,ở cùng nhau,"[['1. 犯人は居合わせた客を人質に取って逃走した。', 'Tội phạm đã bắt khách hàng ở cùng làm con tin rồi chạy trốn.']]"
450,乗り合わせる,の,thừa hợp,"đi chung xe (bus), đi cùng nhau","[['1. バスで小銭がなくて困っていたら、乗り合わせていた人が200円貸してくれた。', 'Khi trên xe buýt tôi gặp rắc rối vì không có tiền lẽ, thì người đi chung đã cho tôi mượn 200 yên.']]"
451,持ち合わせる,も,trì hợp,có,"[['1. 「すみません、今日は名刺を持ち合わせておりませんで」', 'Xin lỗi, hôm nay tôi không mang theo danh thiếp.'], ['名 持ち合わせ', '']]"
452,問い合わせる,と,vấn hợp,"kiểm tra, hỏi; hỏi thăm","[['1. 住民登録について、区役所に問い合わせた。', 'Kiểm tra phường về đăng kí thường trú.'], ['名 問い合わせ→＿をする', '']]"
453,照らし合わせる,て,chiếu hợp,"so sánh, đối chiếu, kiểm tra, soát lại","[['1. 過去の同様のケースと照らし合わせて考える。', 'Suy nghĩ, kiểm tra cùng với trường hợp giống như vậy trong quá khứ.'], ['類 照合する', '']]"
454,聞き直す,き,văn trực,"nghe lại, hỏi lại","[['1. 聞こえなかったので聞き直した。', 'Không thể nghe gì nên nghe lại.']]"
455,やり直す,なお,trực,làm lại,"[['1. 実験がうまくいかなかったので、初めからやり直した。', 'Thí nghiệm không tốt nên đã làm lại từ đầu.'], ['名 やり直し→＿が効く＜＝＞効かない', '']]"
456,かけ直す,なお,trực,gọi lại,"[['1. （電話をかけたが、相手がいなかったとき）「またあとで掛け直します」', '(Gọi điện đến nhưng đối phương không có) ""Tôi sẽ gọi lại sau""']]"
457,出直す,でなお,xuất trực,"đến lần nữa, chỉnh sửa, sắp xếp","[['1. 「改めて出直してまいります」', 'Tôi sẽ đến lại lần nữa.'], ['名 出直し', '']]"
458,持ち直す,も,trì trực,cầm lại,"[['1. 落としそうになった荷物を持ち直す。', 'Cầm lại đồ vật sắp rơi.']]"
459,考え直す,かんが,khảo trực,nghĩ lại,"[['1. 仕事を辞めるつもりだったが、考え直した方がいいと言われた。', 'Tôi tính nghỉ việc nhưng người ta bảo nên suy nghĩ lại.']]"
460,思い直す,おも,tư trực,nghĩ lại,"[['1. 就職するつもりだったが思い直して進学することにした。', 'Tôi tính đi làm nhưng suy nghĩ lại quyết định đi học cao học.']]"
461,アンテナ,,,ăng ten,"[['1. アンテナの向きのせいかテレビの映りが悪い。', 'Không biết do hướng ăng ten hay không mà hình ảnh tivi không tốt.'], ['2. 役に立つ情報がいつでもキャッチできよう、アンテナを張っている。', 'Lắp ăng ten để lúc nào cũng có thể nắm bắt được thông tin bổ ích.'], ['合 テレビ＿、室内＿', ''], ['連 ＿を立てる、＿を張る、＿を張り巡らす', '']]"
462,イヤホン,,,tai nghe,"[['1. 電車の中でイヤホンを付けて音楽を聞いている若者が多い。', 'Nhiều người trẻ gắm tai phôn và nghe nhạc trên tàu điện.'], ['関 ヘッドホン', ''], ['連 ＿をする、＿を付ける', '']]"
463,サイレン,,,tiếng chuông,"[['1. 工場でお昼のサイレンが鳴った。', 'Tiếng chuông báo hiệu giờ nghỉ trưa ở công ty reo lên.'], ['2. 消防車のサイレンを鳴らして火事場に駆け付けた。', 'Tiếng chuông của xe cứu hỏa reo lên chạy đến nơi có hỏa hoạn.'], ['関 ベル、チャイム、ブザー', '']]"
464,コード,,,dây (điện),"[['1. アイロンのコードをコンセントにつないだ。', 'Dây điện của bàn ủi nối với ổ cắm.'], ['関 プラグ、コンセント', ''], ['合 延長＿', '']]"
465,モニター,,,màn hình,"[['1. 警備室には、建物内部を映すモニターがある。', 'Ở phòng an ninh có một màn hình phản chiếu bộ phận bên trong tòa nhà.'], ['2. パソコンのモニター', ''], ['合 テレビ＿、＿画面', ''], ['4. ATM\u3000は監視カメラで常にモニターさせている。', 'Ở ATM thường sẽ có màn hình theo dõi nhờ kamera giám sát.'], ['合 ＿カメラ、＿ルーム', ''], ['6. テレビ番組のモニターをして意見を言う。', 'Theo dõi màn hình của chương trình tivi và nói ra ý kiến.'], ['合 消費者＿、番組＿、＿制度', '']]"
466,メーター,,,đồng hồ đo,"[['1. メーターを見ると、電気やガス使用量が分かる。', 'Nhìn đồng hồ đo sẽ hiểu biết được lượng tiêu dùng của điện và ga.'], ['2. ｛水道/タクシー料金/スピード…｝のメーター', ''], ['3. 100メーターの道路', ''], ['類 計器', ''], ['合 ヘルス＿', '']]"
467,ペア,,,một cặp,"[['1. 男女をペアになってゲームをした。', 'Kết hợp cặp đôi nam nữ và chơi trò chơi.'], ['2. A 選手はB選手とペアに組んだ。', 'Tuyển thủ A kết hợp thành cặp với tuyển thủ B.'], ['3. 彼と彼女はいつもペアの服を着ている。', 'Anh và chị ấy lúc nào cũng mang đồ cặp.'], ['類 対、組', ''], ['連 ＿になる、＿を組む', '']]"
468,リズム,,,giai điệu,"[['1. この曲のリズムは3拍子だ。', 'Nhịp của ca khúc này là 3 nhịp.'], ['2. リズムに合わせて体を動かす。', 'Lắc lư cơ thể theo nhịp.'], ['関 テンポ、メロディー', ''], ['類 拍子', ''], ['合 ＿運動、＿感', ''], ['連 ＿を取る、＿を合わせる、＿に合わせる、＿に乗る', '']]"
469,アクセント,,,"giọng, nhấn","[['1. ｛生活/仕事/睡眠…｝のリズム', ''], ['連 ＿が乱れる、＿が戻る、＿を戻す、＿を整える', ''], ['3. 「お母さん」のアクセントは、「か」の音にある。', 'Âm ""おかあさん"" có âm あ.'], ['4. 方言によって語のアクセントが違う。', 'Tùy vào từng địa phương mà nhấn từ khác nhau.'], ['5. この絵は単調なので、もっとアクセントを付けたほうがいい。', 'Bức tranh này đơn thuần nên có điểm nhấn sẽ tốt hơn.'], ['関 イントネーション', ''], ['連 ＿をおく、＿を付ける、＿が強い＜＝＞弱い', '']]"
470,アルファベット,,,bảng chữ cái,"[['1. 図書館では英語の本はアルファベットの順に並べている。', 'Ở thư viện, sách tiếng Anh được xếp theo thứ tự bảng chữ cái.'], ['関 ローマ字、大文字、小文字', ''], ['合 ＿順', '']]"
471,アドレス,,,địa chỉ,"[['1. 友達とメールのアドレスを交換した。', 'Trao đổi địa chỉ mail với bạn.'], ['2. 知り合いの住所と連絡先は、アドレス帳に書いている。', 'Ghi vào sổ địa chỉ liên lạc và nơi sống của người quen.'], ['類 住所', ''], ['合 メール＿、＿帳、＿ブック', '']]"
472,メモ,,,ghi chú,"[['1. 大事なことを紙にメモする。', 'Ghi chú điều quan trọng vào giấy.'], ['2. メモを取りながら授業を聞く。', 'Vừa ghi chú vừa nghe giảng.'], ['3. 相手が留守だったので、メモを残しておいた。', 'Đối phương vắng nhà nên để lại lời nhắn.'], ['合 ＿帳、＿用紙、伝言＿', ''], ['連 ＿を書く、＿を取る、＿に残す、＿を残す', '']]"
473,マーク,,,đánh dấu,"[['1. 文章の重要なポイントにマークを付けて覚える。', 'Đánh dấu vào chỗ trọng yếu của bài văn để nhớ.'], ['2. 彼は容疑者として警察からマークされていた。', 'Anh ấy bị cảnh sát chú ý như là một kẻ tình nghi.'], ['3. 世界記録をマークする。', 'Đánh dấu kỉ lục thế giới.'], ['類 印、記号', ''], ['合 クエスチョン＿、シンボル＿、エコ＿、ベル＿、初心者＿、＿シート、トレード＿、ノー＿', ''], ['連 ＿を付ける', '']]"
474,イラスト,,,minh họa,"[['1. この本はイラストがたくさんあって内容が理解やすい。', 'Quyển sách này có nhiều hình ảnh minh họa nên nội dung rất dễ hiểu.'], ['関 イラストレーター', ''], ['類 挿し絵', '']]"
475,サイン,,,"chữ kí, kí","[['1. 契約書にサインをする。', 'Kí vào hợp đồng.'], ['2. コンサートの後で、歌手にサインをもらった。', 'Sau buổi hòa nhạc, tôi nhận được chữ kí của ca sĩ.'], ['3. 指を2本立てるのは「勝利」のサインだ。', 'Dựng hai ngón tay lên là ra dấu ""thắng lợi"".'], ['4. 監督はベンチから選手にサインを送った。', 'Huấn luyện viên ngồi ở băng ghế và chỉ đạo cầu thủ.'], ['類 署名、印、合図', ''], ['連 ＿を送る', '']]"
476,スター,,,ngôi sao nổi tiếng,"[['1. 映画がヒットし、主演俳優はたちまち世界的なスターになった。', 'Phim hot nên diễn viên chính cũng ngay lập tức trở thành ngôi sao thế giới.'], ['関 ファン', ''], ['合 人気＿、トップ＿、大＿、映画＿、スター＋［名詞］', '']]"
