stt,word,furigana,Sino-Vietnamese,meaning,example
137,乾く,かわ,can,khô,"[['1. 風が強かったので、外に干した洗たく物はすぐに乾いた', 'Gió mạnh nên đồ phơi ở ngoài nhanh khô.'], ['2. 乾いたタオルで体をふいた', 'Tôi lau cơ thể bằng khăn khô.'], ['3. ｛空気／インク｝が乾く', '{không khí / mực} khô.'], ['名 乾き→\u3000＿が速い <=> 遅い', 'Khô → nhanh khô <=> chậm khô']]"
138,乾かす,かわ,can,làm khô,"[['1. ドライヤーでぬれた髪を乾かした', 'Tôi sấy khô tóc ướt bằng máy sấy.']]"
139,畳む,たた,điệp,"gấp, gập","[['1. 洗たく物をたたむ', 'Gấp đồ đã giặt.'], ['2. かさをたたんでバッグに入れる', 'Gập ô rồi cho vào túi.']]"
140,誘う,さそ,dụ,"rủ, mời","[['1. 友だちを誘って映画を見に行った', 'Tôi đã rủ bạn đi xem phim.'], ['2. 今度、彼女を食事に誘おうと思う', 'Lần này, tôi định là sẽ mời cô ấy đi ăn.'], ['名 誘い\u3000→\u3000＿を受ける <=> 断る', 'Lời mời →  chấp nhận lời mời <=> từ chối\xa0lời mời']]"
141,おごる,,,"khao, chiêu đãi","[['1. きのうは後輩に焼き肉をおごった', 'Hôm qua tôi đã khao đàn em một bữa thịt nướng.'], ['名 おごり（例．きょうの飲み会は課長のおごりだった）', 'Sự chiêu đãi (ví dụ: Bữa nhậu hôm nay do trưởng phòng khao)']]"
142,預かる,あず,dự,"trong nom, chăm sóc","[['1. 旅行に行く友だちから犬を預かることになった', 'Tôi sẽ chăm sóc cho chú chó từ người bạn đi du lịch.'], ['対 預ける', 'Gửi tiền, giao phó']]"
143,預ける,あず,dự,"gửi tiền, giao phó","[['1. 銀行にお金を預けると、利子がつく', 'Gởi tiền vào ngân hàng sẽ sinh lãi.'], ['2. 保育園に子どもを預けて働く', 'Tôi gửi con tôi đến trường mẫu giáo rồi đi làm.'], ['対 預かる', 'Trong nom']]"
144,決まる,き,quyết,"được quyết định, (thời gian, địa điểm…) nhất định","[['1. 帰国の日が決まった', 'Ngày về nước đã được quyết định.'], ['2. みんなで話し合って、旅行の行き先は北海道に決まった', 'Mọi người cùng thảo luận, điểm đến của chuyến du lịch được quyết định là Hokkaido.'], ['3. 父は毎朝決まった時間にうちを出て、決まった時間に帰ってくる', 'Bố tôi hôm nào cũng đi đúng giờ về đúng giờ.'], ['4. ｛合格／優勝／転勤\u3000…｝が決まった', 'Đã đỗ, đã thắng, đã quyết định chuyển công tác.'], ['5. （スポーツで）｛シュート／ゴール／サービス／わざ…｝が決まる', '(Trong thể thao) sút vào / ghi bàn / giao bóng ghi điểm / ghi điểm kỹ thuật …']]"
145,決める,き,quyết,quyết định,"[['1. 「進学か就職か、早く決めたほうがいいですよ」', '""Nên quyết định sớm học lên hay đi làm.""'], ['2. 朝はパンにコーヒーと決めている', 'Buổi sáng, tôi thường dùng cà phê kèm bánh mì.'], ['3. （スポーツで）｛シュート／ゴール／サービス／わざ…｝を決める', '(Trong thể thao) sút vào / ghi bàn / giao bóng ghi điểm / ghi điểm kỹ thuật …']]"
146,写る,うつ,tả,"được chiếu, được chụp","[['1. このカメラは暗いところでもよく写る', 'Chiếc máy ảnh này chụp tốt cả những nơi tối.'], ['2. 「この写真、よく写っているね」', '""Bức ảnh này chụp nét nhỉ""'], ['名 写り\u3000→\u3000＿がいい <=> 悪い、\u3000写真＿\u3000（例・\u3000私は写真写りが悪い）', 'Chụp ảnh → Chụp ảnh đẹp <=> chụp ảnh xấu, ảnh chụp (ví dụ: Tôi không ăn ảnh.)']]"
147,写す,うつ,tả,"chụp, sao chép","[['1. 写真を写す', 'Chụp ảnh.'], ['2. すばらしい風景を写真に写した', 'Đã chụp một bức hình về một cảnh quan tuyệt vời.'], ['3. 黒板の字をノートに写した', 'Chép các chữ trên bảng vào vở.']]"
148,思い出す,おも,tư xuất,"hồi tưởng, nhớ lại","[['1. 毎年春になると、高校の入学式を思い出します', 'Mỗi năm khi mùa xuân đến, tôi lại hồi tưởng về buổi lễ nhập học THPT.'], ['2. 忘れていたことを急に思い出した', 'Tôi chợt nhớ lại những việc đã quên trước đấy.'], ['3. 最近、人の名前がなかなか思い出せない', 'Gần đây, tôi khó có thể nhớ ra tên người khác.'], ['関 思い出', 'Kỷ niệm, hồi ức']]"
149,教わる,おそ,giáo,được dạy,"[['1. この料理の作り方は母｛から／に｝教わりました', 'Tôi được mẹ dạy cách làm món ăn này.'], ['対 教える', 'Dạy, chỉ bảo']]"
150,申し込む,もう,thân vào,đăng ký,"[['1. パーティーに参加を申し込む', 'Đăng kí tham gia bữa tiệc.'], ['2. 恋人に結婚を申し込む', 'Cầu hôn với người yêu.'], ['名 申し込み', 'Sự đăng ký']]"
151,断る,ことわ,đoạn/đoán,"từ chối, xin phép","[['1. 頼まれた仕事を断った', 'Tôi đã từ chối công việc được nhờ vả.'], ['2. 借金を申し込んだが断られた', 'Đăng kí vay tiền nhưng đã bị từ chối.'], ['3. 「すみません、この仕事はお断りさせていただきます」', '""Xin lỗi, tôi xin từ chối công việc này.""'], ['4. 急用ができたので、先生に断って早退させてもらった', 'Vì có việc gấp, nên tôi xin phép thầy giáo về sớm.'], ['名 断り→\u3000＿を言う、\u3000何の＿もない', 'Sự từ chối, nói lời từ chối, không có xin phép hay thông báo']]"
152,見つかる,み,kiến,"được tìm thấy, bị bắt gặp","[['1. なくなったと思っていた指輪が、\u3000ソファーの下｛で／から｝見つかった', 'Đã tìm thấy chiếc nhẫn cứ ngỡ đã mất ở dưới ghế Sofa.'], ['2. 高校生のとき、たばこを吸っていたら、先生に見つかっておこられた', 'Hồi học THPT, đang hút thuốc thì bị giáo viên bắt gặp và nổi giận.']]"
153,見つける,み,kiến,"tìm thấy, bắt gặp","[['1. なくなったと思っていた指輪を、ソファーの下で見つけた', 'Đã tìm ra chiếc nhẫn cứ ngỡ đã mất ở dưới ghế Sofa.'], ['類 発見する', 'Phát hiện, tìm thấy']]"
154,捕まる,つか,bộ,"bị bắt, nắm, giữ","[['1. 犯人が警察に捕まった', 'Phạm nhân đã bị cảnh sát bắt giữ.'], ['2. 電車で立っているときはいつもつり革につかまっている', 'Khi đứng trên tàu điện, tôi thường nắm vào tay nắm.']]"
155,捕まえる,つか,bộ,"bắt, tóm","[['1. 警察が泥棒を捕まえた', 'Cảnh sát tóm lấy tên trộm.'], ['2. 川で魚を捕まえる', 'Bắt cá trên sông.']]"
156,乗る,の,thừa,"lên (tàu,xe), cưỡi (ngựa)","[['1. 毎朝、電車に乗って学校に通っている', 'Sáng nào tôi cũng lên tàu điện đi đến trường.'], ['対 降りる', 'Xuống']]"
157,乗せる,の,thừa,"chất lên, cho lên","[['1. 子どもを車に乗せて、学校まで送って行った', 'Cho bọn trẻ lên xe rồi đưa đến trường.'], ['対 降ろす', 'Thả xuống, hạ xuống']]"
158,降りる／下りる,お,giáng/hàng hạ,"xuống (tàu, xe, núi), nhận được(cấp phép, chứng chỉ, lương hưu…)","[['1. 電車を降りる', 'Xuống tàu điện.'], ['2. ２階から1階に下りる', 'Đi từ tầng 2 xuống tầng 1.'], ['3. 階段を下りる', 'Xuống cầu thang.'], ['4. 景気が悪いらしく、シャッターの下りた店が多い', 'Nền kinh tế có vẻ xấu, nhiều cửa hàng đã đóng cửa.'], ['5. 何度も頼んで、やっと許可が下りた', 'Yêu cầu bao nhiêu lần, cuối cùng cũng được chấp thuận.'], ['対 乗る、\u3000上がる、\u3000のぼる', 'Đi xe, leo lên, trèo lên']]"
159,降ろす／下ろす,お,giáng/hàng hạ,"cho xuống (tàu, xe), hạ xuống, rút tiền","[['1. （タクシーの客が）「あの銀行の前で降ろしてください」', '(Khách đi Taxi) ""Xin hãy cho tôi xuống trước ngân hàng kia"".'], ['2. たなの下から荷物をおろす', 'Hạ hành lý từ trên kệ xuống.'], ['3. 「賛成の方は手を挙げてください。はい、おろしてください」', '""Những người đồng ý, hãy giơ tay lên. Được rồi, xin hãy bỏ tay xuống.""'], ['4. 銀行からお金をおろす', 'Rút tiền từ ngân hàng.'], ['対 乗せる、｛上げる／挙げる｝、\u3000積む、\u3000預ける、\u3000入れる', 'Giơ lên, nâng lên, chồng lên, chất lên'], ['類 出す、\u3000引き出す', 'Rút tiền từ ngân hàng']]"
160,直る,なお,trực,được sửa,"[['1. こわれたパソコンが直った', 'Máy tính cá nhân bị hỏng đã được sửa.'], ['2. 発音のくせがなかなか直らない', 'Mãi mà không sửa được tật trong phát âm.']]"
161,直す,なお,trực,"sửa chữa, chỉnh lại","[['1. こわれた時計を直す', 'Sửa đồng hồ bị hỏng.'], ['2. くつを直す', 'Sửa lại đôi giày.'], ['3. 先生が作文を直してくれた', 'Thầy đã sửa bài văn cho tôi.'], ['4. 「ネクタイが曲がっていますよ。直したほうがいいですよ」', '""Cà vạt bị lệch rồi kìa, cậu nên chỉnh lại đi""'], ['5. 日本語を英語に直す', 'Dịch tiếng Nhật sang tiếng Anh.'], ['関 修理する', 'Tu sửa'], ['名 直し→\u3000手＿', 'Sửa chửa → điều chỉnh, đính chính']]"
162,治る,なお,trị,"khỏi, lành","[['1. なかなか頭痛が治らない', 'Mãi mà không khỏi đau đầu.'], ['2. ｛けが／病気\u3000…｝が治る', 'Lành vết thương / lành bệnh…'], ['名 治り→\u3000＿が速い <=> 遅い、\u3000＿が悪い', 'hồi phục → hồi phục nhanh <=> hồi phục chậm, khó lành']]"
163,治す,なお,trị,"chữa trị, phục hồi","[['1. 「よく休んで早くかぜを治してください」', '""Hãy nghỉ ngơi thư thái cho nhanh khỏi cảm nhé.""']]"
164,亡くなる,な,vong,"mất, chết","[['1. 社長が９０歳でなくなった', 'Giám đốc mất vào năm 90 tuổi.']]"
165,亡くす,な,vong,mất (ai đó),"[['1. 彼は子どものとき、父親をなくした', 'Anh ấy mất bố khi còn nhỏ.']]"
166,生まれる,う,sinh,"được sinh ra, được tạo ra","[['1. 先月子どもが生まれた', 'Đứa trẻ được sinh ra vào tháng trước.'], ['2. 1990年代に、多くのアニメの名作が生まれた', 'Nhiều phim hoạt hình nổi tiếng ra đời vào những năm 1990.'], ['関 誕生する', 'Sinh ra'], ['名 生まれ', 'Ra đời']]"
167,産む 生む,う,sản sinh,"sinh, tạo ra","[['1. 妻が先日元気な女の子を産んだ', 'Cách đây vài ngày, vợ tôi đã sinh ra một bé gái khỏe mạnh.'], ['2. にわとりが卵を産む', 'Gà đẻ trứng.'], ['3. 彼の努力がこの新記録を生んだ', 'Nỗ lực của anh ấy đã tạo nên kỷ lục mới này.'], ['関 出産する', 'Sinh sản']]"
168,出会う,であ,xuất hội,"gặp gỡ, hội ngộ","[['1. 駅で偶然大学時代の友人｛に／と｝出会った', 'Ở nhà ga, tôi tình cờ gặp người bạn thời đại học.'], ['2. ここは両親が初めて出会った場所だそうだ', 'Nghe nói đây là nơi bố mẹ gặp nhau lần đầu tiên.'], ['名 出会い', 'Gặp gỡ']]"
169,訪ねる,たず,phóng/phỏng,thăm,"[['1. 友人の家を訪ねた', 'Đến thăm nhà bạn.'], ['2. 「さっきあなたを訪ねて、お客さんがいらっしゃいましたよ', '""Lúc nãy có vị khách đến tìm cậu ấy!""'], ['関 訪問', 'Viếng thăm']]"
170,付き合う,つ,phụ hợp,"hẹn hò, quan hệ","[['1. 隣の家の人と親しく付き合っている', 'Giữ mối quan hệ thân thiết với nhà bên cạnh.'], ['2. 先週の土曜日は上司のゴルフに付き合わされた', 'Thứ Bảy tuần trước, tôi đã đi chơi golf cùng với sếp.'], ['3. 「仕事終わった?\u3000じゃ、食事付き合って」', '""Xong công việc rồi chứ? Cùng dùng bữa thôi nào.""'], ['4. 彼らは付き合って5年目に結婚した', 'Họ kết hôn sau năm năm hẹn hò.'], ['類 交際する', 'Hẹn hò, giao tiếp']]"
171,効く,き,hiệu,hiệu quả,"[['1. この薬は頭痛によく効く', 'Thuốc này rất hiệu quả cho người bị đau đầu.'], ['2. クーラーが効いていないのか、この部屋はとても暑い', 'Máy làm mát chạy không đạt hiệu quả hay sao ấy, phòng này nóng quá.'], ['合 効き目→\u3000＿がある <=> ない、\u3000＿が強い <=> 弱い', 'Hiệu quả → có hiệu quả  <=> không có hiệu quả, hiệu quả tốt <=> hiệu quả kém']]"
172,はやる,,,"phổ biến, thịnh hành, bùng phát","[['1. この冬は赤い色がはやっている', 'Mùa đông này màu đỏ rất thịnh hành.'], ['2. 今、インフルエンザがはやっている', 'Hiện giờ, bệnh cúm đang bùng phát.'], ['名 はやり', 'Sự thịnh hành'], ['関 ブーム', 'Sự bùng nổ'], ['類 流行する', 'Phổ biến, thịnh hành']]"
173,経つ,た,kinh,"trải qua, trôi qua","[['1. 日本へ来てから10年がたった', 'Đã đến Nhật được 10 năm rồi.'], ['2. 子どもがいつまでたっても帰って来なくて心配だ', 'Lo lắng cho bọn trẻ đến giờ vẫn chưa về nhà.']]"
174,間に合う,ま,gian hợp,"kịp giờ, đúng lúc","[['1. 電車が遅れたが、駅から走って、なんとか授業に間に合った', 'Xe điện đến muộn, nhưng mà chạy từ ga nên vừa kịp giờ học.']]"
175,間に合わせる,ま,gian hợp,làm cho kịp,"[['1. レポートを、がんばって締め切りに間に合わせた', 'Tôi đã cố gắng hoàn thành bản báo cáo đúng thời hạn.']]"
176,通う,かよ,thông,"đi lại, lưu thông","[['1. ｛学校／会社／病院\u3000…｝に通う', 'Đi học / đi làm / đi viện…'], ['2. 毎週ピアノのレッスンに通っている', 'Hàng tuần, tôi đều đi học Piano.'], ['3. うちには小学校に通っている子どもが二人いる', 'Nhà tôi có hai đứa con đi học tiểu học.'], ['4. いっしょに働いている間に、彼女と心が通うようになった', 'Trải qua thời gian làm việc cùng nhau, tôi và cô ấy trở nên tâm đầu ý hợp.'], ['関 通学、\u3000通勤、\u3000通院', 'Đi học, đi làm, đi viện'], ['連 ｛気持ち／心｝が＿', 'Thấu hiểu/ tâm đầu ý hợp']]"
177,込む,こ,,đông đúc,"[['1. ｛電車／店／道\u3000…｝が込む', '{ Xe điện / cửa hàng  / đường ...} đông đúc.'], ['合 人込み', 'Đông\xa0người'], ['対 すく', 'Trống, vắng vẻ'], ['関 混雑', 'Đông đúc, hỗn tạp']]"
178,すれ違う,ちが,vi,"đi ngang qua, lướt qua, lỡ","[['1. この道はせまいので、自動車がすれ違うのは大変だ', 'Con đường này hẹp nên ô tô ngược hướng khó đi ngang qua nhau.'], ['2. 上り列車と下り列車がすれ違った', 'Tàu lên thành thị và tàu rời thành thị lướt qua nhau.'], ['3. 子どもを学校まで迎えに行ったが、すれ違って会えなかった', 'Tôi đã đến trường đón con mà lướt qua nhau chứ không bắt gặp được.'], ['名 すれ違い', 'Ngược hướng, lệch,  bất đồng quan điểm']]"
179,掛かる,か,quải,"được phủ lên, tiêu tốn, vướng vào, gây ra, khởi động","[['1. このサラダには何もかかっていないようだ', 'Hình như món rau trộn này không cho bất kỳ cái gì lên trên cả.'], ['2. いすにきれいなカバーがかかっている', 'Ghế được bọc bằng vỏ bọc rất đẹp.'], ['3. この調査には｛時間／費用／人手｝がかかる', 'Cuộc điều tra này sẽ tốn { thời gian / chi phí / nhân lực}.'], ['4. 病気にかかる', 'Bị ốm.'], ['5. ｛迷惑／エンジン／ブレーキ／音楽／橋\u3000…｝がかかる', 'Gây phiền hà, khởi động động cơ, đạp phanh, nhạc được phát, cầu được xây…']]"
180,掛ける,か,quải,"phủ lên, lấy thời gian của ai đó, bắt đầu, nhân","[['1. 料理にしょうゆをかけて食べる', 'Cho vài giọt nước tương lên món ăn rồi ăn.'], ['2. ふとんをかけて寝る', 'Đắp chăn đi ngủ.'], ['3. （本屋の定員が）「カバーをおかけしますか」', '( Nhân viên của cửa hàng sách) ""Tôi bọc sách cho bạn nhé?""\xa0.'], ['4. このスープは時間をかけてゆっくり煮たほうがおいしい', 'Món súp này này nên hầm lửa nhỏ nhiều giờ thì ngon hơn.'], ['5. ｛迷惑／心配／世話／保険／音楽／エンジン／ブレーキ／アイロン／パース／橋／声\u3000…｝をかける', 'Gây phiền phức/ làm lo lắng/ chăm sóc/ mua bảo hiểm/ mở nhạc/ nổ máy/ dẫm phanh/ là quần áo/ uốn tóc/ xây cầu/ bắt chuyện.'], ['6. 3に3をかけると９になる', '3 nhân 3 bằng 9.']]"
181,動く,うご,động,"di chuyển, cử động, hoạt động","[['1. 「写真を撮るから動かないでください」', '""Tôi sẽ chụp ảnh nên đừng cử động.""'], ['2. スイッチを入れても機械が動かない', 'Bật công tắc rồi mà máy vẫn không hoạt động.'], ['3. いなくなった兄を捜してほしいと言っても、警察はなかなか動いてくれなかった', 'Dù tôi có yêu cầu là muốn tìm anh trai đã bỏ nhà đi, nhưng cảnh sát vẫn mãi không có động tĩnh gì.'], ['4. 今世界はすごいスピードで動いている', 'Hiện nay, thế giới đang thay đổi với tốc độ chóng mặt.'], ['名 動き', 'Cử động, động tác, biến động, thay đổi']]"
182,動かす,うご,động,"di chuyển, vận hành, làm lay động","[['1. ひどいけがをして、体を動かすこともできない', 'Bị thương rất nặng nên việc cử động cơ thể cũng không thể làm được.'], ['2. スイッチを入れて機械を動かす', 'Bật công tắc rồi khởi động máy.'], ['3. 国民の力で政府を動かすことができる', 'Có thể gây ảnh hưởng đến chính phủ bằng sức mạnh toàn dân.'], ['4. 一人の人間が歴史を動かすこともある', 'Cũng có sự việc mà một người làm thay đổi lịch sử.']]"
183,離れる,はな,li,"tránh xa, cách xa","[['1. 危ないから、ストーブから離れて遊びなさい」', '""Vì nguy hiểm nên hãy chơi tranh xa khu vực lò sưởi ra!""'], ['2. 今、家族と離れて暮らしている', 'Bây giờ, tôi đang sống xa gia đình.'], ['3. ふるさとを離れて、もう10年になる', 'Tôi xa quê cũng được 10 năm.'], ['4. 姉とは4歳離れている', 'Tôi và chị gái cách nhau 4 tuổi.']]"
184,離す,はな,li,"rời xa, tách rời","[['1. テストのときは、机を離して並べる', 'Khi kiểm tra thì xếp bàn cách xa nhau.'], ['2. 子どもと歩くときは、手を離さないようにしている', 'Lúc đi cùng trẻ con, tôi không rời tay đứa bé.']]"
185,ぶつかる,,,"va chạm, xung đột","[['1. 道で自転車にぶつかってけがをした', 'Tôi bị thương bởi va chạm với chiếc xe đạp trên đường.'], ['2. どこへ旅行するか、友だちと意見がぶつかってなかなか決まらない', 'Do xung đột ý kiến với người bạn nên chúng tôi vẫn chưa đưa ra quyết định sẽ du lịch ở đâu.'], ['3. 仕事とデートの予定がぶつかって困っている', 'Công việc và buổi hẹn hò trùng nhau nên tôi đang rất khó xử.'], ['関 衝突する', 'Va chạm, xung đột']]"
186,ぶつける,,,"đâm mạnh, đụng vào","[['1. 運転していて、車を電柱にぶつけてしまった', 'Đang lái xe thì ô tô tông chạm mạnh vào cột điện.']]"
187,こぼれる,,,"bị đổ, tràn","[['1. 手がふるえてお茶がこばれてしまった', 'Tay run rẩy nên nước trà tràn ra ngoài.'], ['2. くやしくて涙がこぼれた', 'Ức chế quá nên nước mắt cứ tuôn trào.']]"
188,こぼす,,,"làm đổ, làm tràn","[['1. コップを倒して水をこぼしてしまった', 'Làm đổ cốc nên làm nước tràn ra ngoài.'], ['2. 祖母はうれしさに涙をこぼしていた', 'Bà tôi tuôn trào những giọt nước mắt hạnh phúc.'], ['3. 小さな子どもは、はしが上手に使えないので、すぐごはんをこぼしてしまう', 'Đứa con nhỏ của tôi vì không giỏi dùng đũa nên làm đổ cơm ra ngoài tức thì.']]"
189,ふく,,,"lau, chùi","[['1. 汗をふく', 'Lau mồ hôi\xa0.'], ['2. ふきんでテーブルの上をふく', 'Lau mặt bàn bằng khăn chùi.'], ['合 ふき取る', 'Lau chùi']]"
190,片付く,かたづ,phiến phụ,"được dọn dẹp, được giải quyết","[['1. 大掃除をして、やっと部屋がかたづいた', 'Sau khi tổng vệ sinh, cuối cùng phòng ốc căn cũng được dọn dẹp.'], ['2. ｛仕事／宿題／事件／問題\u3000…｝がかたづいた', '{Công việc / bài tập về nhà / vụ án / vấn đề ...} xong xuôi.']]"
191,片付ける,かたづ,phiến phụ,"dọn dẹp, giải quyết","[['1. 机の上をかたづける', 'Dọn dẹp phía trên mặt bàn.'], ['2. 洗った食器を食器棚にかたづける', 'Sắp đặt bát đĩa đã rửa sạch lên tủ chén.'], ['3. ｛仕事／宿題／事件／問題\u3000…｝をかたづける', 'Giải quyết {công việc / bài tập về nhà / vụ án / vấn đề ...}'], ['名 かたづけ', 'Dọn dẹp']]"
192,包む,つつ,bao,"bọc, gói","[['1. プレゼントをきれいな紙｛で／に｝包む', 'Gói quà bằng giấy đẹp.'], ['2. 残ったおかしを包んで持って帰る', 'Gói kẹo còn thừa lại rồi mang về.'], ['合 包み紙', 'Giấy gói quà'], ['名 包み→\u3000＿を｛開ける／開く｝', 'Bưu kiện → {khui / mở}\xa0bưu kiện']]"
193,張る,は,trương,dán,"[['1. 壁にポスターを張る', 'Dán áp phích lên tường.'], ['2. はがきに切手を張る', 'Dán tem vào bưu thiếp.'], ['対 はがす', 'Bóc ra, lột ra']]"
194,無くなる,な,vô,bị mất,"[['1. 部屋のかぎがなくなってしまった', 'Chìa khóa căn phòng đã bị mất rồi.'], ['2. ｛自信／やる気／記憶／食欲\u3000…｝がなくなる', 'Mất {tự tin / động lực / kí ức / cảm giác thèm ăn...}']]"
195,無くす,な,vô,làm mất,"[['1. パスポートをなくして困っている', 'Tôi đã làm mất hộ chiếu nên giờ không biết phải làm sao nữa đây.'], ['2. ｛自信／やる気／記憶／食欲\u3000…｝がなくす', 'Đánh mất {tự tin / động lực / trí nhớ / cảm giác thèm ăn ...}.']]"
196,足りる,た,túc,đủ,"[['1. この収入では生活するのに全然足りない', 'Với thu nhập này thì hoàn toàn không đủ sống.'], ['2. きょうの試験は難しくて、時間が足りなかった', 'Bài kiểm tra hôm nay khó nên không đủ thời gian hoàn thành phần thi.'], ['3. この仕事をするには、彼女は経験が足りない', 'Cô ấy chưa đủ kinh nghiệm để làm công việc này.']]"
197,残る,のこ,tàn,"còn lại, sót lại","[['1. 料理を作りすぎて、たくさん残ってしまった', 'Làm quá nhiều đồ ăn nên vẫn còn lại khá nhiều.'], ['2. 宿題は、あと漢字の練習だけが残っている', 'Bài tập về nhà chỉ còn bài luyện tập chữ hán thôi.'], ['3. この地方には、まだ豊かな自然が残っている', 'Vùng đất này vẫn còn giữ lại được thiên nhiên phong phú.'], ['名 残り', 'Còn lại, sót lại']]"
198,残す,のこ,tàn,"để lại, gác lại","[['1. ごはんを残してしまった', 'Tôi đã để thừa cơm.'], ['2. 今年も、あと二日を残すだけになった', 'Năm nay chỉ còn lại hai ngày nữa thôi.'], ['3. 父は私たちに多くの財産を残してくれた', 'Bố để lại cho chúng tôi nhiêu tài sản.']]"
199,腐る,くさ,hủ,"thiu, thối, hỏng","[['1. 腐ったものを食べて、おなかを壊してしまった', 'Ăn phải đồ thiu nên bị đau bụng mất rồi.'], ['2. 生魚は腐りやすいから、早く食べたほうがいい', 'Vì cá tươi sống dễ hư hỏng nên ăn sớm thì tốt hơn.']]"
200,むける,,,"bong tróc, lột ra","[['1. 海で日焼けをして、背中の皮がむけた', 'Da ở lưng bị bong tróc do bị cháy nắng ở biển.']]"
201,むく,,,"bóc, lột","[['1. 果物の皮をむく', 'Bóc vỏ trái cây.']]"
202,滑る,すべ,hoạt,trượt,"[['1. 新しいスケート場はきれいで、楽しくすべることができた', 'Sân trượt băng mới thật sạch đẹp, có thể trượt băng vui vẻ.'], ['2. 雨の日は道がすべりやすいので注意してください', 'Những ngày mưa đường trơn trượt nên hãy chú ý nhé.'], ['3. 足がすべった', 'Trượt chân.'], ['4. 皿がすべって落ちた', 'Cái dĩa trượt rồi rơi xuống.'], ['5. 手がすべってコップを割ってしまった', 'Tôi trượt tay nên đã làm vỡ cái cốc mất rồi.']]"
203,積もる,つ,tích,"tích trữ, chồng chất","[['1. きのう降った雪が積もっている', 'Tuyết rơi vào hôm qua tích lại nhiều.'], ['2. 全然そうじをしていないので、ほこりが積もっている', 'Bởi vì không lau chùi nên bụi tích tụ nhiều.']]"
204,積む,つ,tích,"chất lên, tích lũy","[['1. 机の上に本がたくさん積んである', 'Có rất nhiều sách chồng chất lên nhau trên bàn làm việc.'], ['2. レンガを積んで家をつくる', 'Xây nhà bằng cách xếp gạch chồng chất lên nhau.'], ['3. 車に荷物を積む', 'Chất hành lý lên ô tô.'], ['4. 働いて経験を積む', 'Làm việc để tích lũy kinh nghiệm.'], ['5. もっと練習を積まなくてはならない', 'Tôi cần phải luyện tập nhiều hơn.'], ['対 おろす', 'Hạ xuống']]"
205,空く,あ,không,"trống, mở","[['1. くつしたに穴が空いてしまった', 'Có lỗ hổng ở tất.'], ['2. 「その席、空いていますか」', '""Ghế đó còn trống chứ ạ?""'], ['3. （不動産屋で）「空いている部屋はありませんか」', '(Trong văn phòng bất động sản) ""Có căn phòng nào trống không ạ?""'], ['4. 平日は忙しいですが、土曜日なら空いています', 'Từ thứ 2 đến thứ 6 thì bận, nhưng nếu là thứ 7 thì rảnh.'], ['合 空き部屋、\u3000空き地、\u3000空き時間', 'Phòng trống, lô đất trống, thời gian rảnh'], ['関 空席、\u3000空室', 'Ghế trống, phòng trống'], ['名 空き→\u3000＿がある <=> ない', 'Chỗ trống → Có chỗ trống <=>\xa0không có chỗ trống'], ['対 ふさがる', 'Bận rộn']]"
206,空ける,あ,không,"đục, để trống","[['1. かべに穴を空ける', 'Khoan lỗ trên tường.'], ['2. 電車でお年寄りのために席を空けた', 'Để dành chổ trống cho người lớn tuổi trên tàu điện.'], ['3. 「今度の土曜日、空けておいてね」', '""Hãy để trống lịch vào ngày thứ bảy tới nhá"".'], ['対 ふさぐ', 'Bịt, chặn, chiếm']]"
207,下がる,さ,hạ,"đi xuống, lùi lại","[['1. ｛熱／温度／値段／成績\u3000…｝が下がる', 'Hạ sốt / nhiệt độ giảm / giá giảm / thành tích đi xuống…'], ['2. 「間もなく列車が参ります。白線の内側に下がってお待ちください」', '""Xe lửa sắp đến. Xin hãy lùi lại phía bên trong vạch trắng và đợi.""'], ['対 上がる', 'Tăng']]"
208,下げる,さ,hạ,"hạ bớt, giảm đi, thu dọn","[['1. ｛熱／温度／値段／成績\u3000…｝を下げる', 'Hạ sốt / hạ nhiệt độ / hạ giá / hạ thành tích…'], ['2. 「お皿をお下げしてもよろしいですか」', '""Tôi thu dọn bớt đĩa đi được chứ ạ?""'], ['対 上げる', 'Gia tăng']]"
209,冷える,ひ,lãnh,"được làm lạnh, giá lạnh","[['1. 寒いところに長くいたので、手足が冷えてしまった', 'Ở chỗ lạnh lâu nên chân tay lạnh ngắt luôn rồi.'], ['2. ジュースは冷えていないとおいしくない', 'Nước ép mà không được ướp lạnh thì không có ngon.'], ['3. 「今夜は冷えますね」「ええ、温かいものが食べたいですね」', '""Tối nay thật lạnh nhỉ!"" ""Ừ, muốn ăn đồ ăn nóng hổi nhỉ!""'], ['対 あたたまる', 'Được làm ấm'], ['名 冷え', 'Lạnh']]"
210,冷やす,ひ,lãnh,"làm lạnh, hạ nhiệt","[['1. この果物は冷やして食べたほうがおいしい', 'Trái cây này thì làm lạnh ăn sẽ ngon hơn.'], ['2. 体を冷やしすぎるのは健康によくない', 'Để cơ thể lạnh quá thì không tốt cho sức khỏe.'], ['3. 「そんなに興奮するな。頭を冷やしてもう一度よく考えろ」', '""Đừng phấn khích như thế chứ. Bình tĩnh lại rồi suy nghĩ kỹ thêm lần nữa đi!""'], ['対 あたためる', 'Làm ấm']]"
